"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LED80,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED78,LED79,LED81,LED82,LED83,LED84,LED85,LED86,LED87,LED88,LED89,LED90,LED91,LED92,LED93,LED94,LED95,LED96";"MX-1U-KS6812Mini-E";96;"SK6812Mini-E";;;
2;"C96,C95,C94,C93,C92,C91,C90,C89,C88,C87,C86,C85,C84,C83,C82,C81,C80,C79,C78,C77,C76,C75,C74,C73,C72,C71,C70,C69,C68,C67,C66,C65,C64,C63,C62,C61,C60,C59,C58,C57,C56,C55,C54,C53,C52,C51,C50,C49,C48,C47,C46,C45,C44,C43,C42,C41,C40,C39,C38,C37,C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1";"MX-1U-0805";96;"100nF";;;
3;"U1";"proton_c";1;"proton_c";;;
4;"SW93";"MXALPS_1.25U";1;"Menu_125";;;
5;"D1,D2,D3,D4,D5,D6,D7,D19,D8,D9,D10,D22,D34,D11,D23,D12,D24,D13,D14,D15,D16,D17,D29,D41,D18,D30,D31,D20,D21,D33,D46,D58,D35,D36,D48,D25,D26,D27,D28,D40,D52,D53,D65,D42,D43,D32,D44,D45,D57,D70,D47,D59,D60,D37,D38,D39,D51,D63,D64,D76,D77,D54,D55,D67,D56,D69,D82,D94,D71,D49,D50,D62,D74,D75,D87,D88,D89,D66,D78,D79,D81,D93,D95,D83,D72,D61,D73,D85,D86,D90,D91,D68,D80,D92,D96,D84";"D_SOD-123_HandSoldering";96;"D";;;
6;"SW92";"MXALPS_1.25U";1;"Fn_125";;;
7;"SW89";"MXALPS_6.25U";1;"SPACE_625";;;
8;"SW85";"MXALPS_1.25U";1;"OS_125";;;
9;"SW21";"MXALPS_2U";1;"Backspace_2";;;
10;"SW37";"MXALPS_1.5U";1;"Tab_15";;;
